City,Country,City_Key,Lat,Lng,Population,ISO
Melbourne,Australia,Melbourne-Australia,-37.8142,144.9631,5031195,AUS
Buenos Aires,Argentina,Buenos Aires-Argentina,-34.6033,-58.3817,16710000,ARG
Cape Town,South Africa,Cape Town-South Africa,-33.9253,18.4239,4770313,ZAF
Sydney,Australia,Sydney-Australia,-33.8678,151.21,4840600,AUS
Rosario,Argentina,Rosario-Argentina,-32.9575,-60.6394,1276000,ARG
Mendoza,Argentina,Mendoza-Argentina,-32.8833,-68.8167,115041,ARG
Perth,Australia,Perth-Australia,-31.9559,115.8606,2141834,AUS
Durban,South Africa,Durban-South Africa,-29.8833,31.05,838634,ZAF
Johannesburg,South Africa,Johannesburg-South Africa,-26.2044,28.0456,8500000,ZAF
Rio de Janeiro,Brazil,Rio de Janeiro-Brazil,-22.9111,-43.2056,12592000,BRA
Brasilia,Brazil,Brasilia-Brazil,-15.7939,-47.8828,2817068,BRA
Salvador,Brazil,Salvador-Brazil,-12.9747,-38.4767,2418005,BRA
Berbera,Somalia,Berbera-Somalia,10.4356,45.0164,478000,SOM
Bangalore,India,Bangalore-India,12.9789,77.5917,15386000,IND
Khartoum,Sudan,Khartoum-Sudan,15.6,32.5,7869000,SDN
Omdurman,Sudan,Omdurman-Sudan,15.65,32.4833,2805396,SDN
Mumbai,India,Mumbai-India,19.0761,72.8775,24973000,IND
Mexico City,Mexico,Mexico City-Mexico,19.4333,-99.1333,21804000,MEX
Guadalajara,Mexico,Guadalajara-Mexico,20.6767,-103.3475,5525000,MEX
Jeddah,Saudi Arabia,Jeddah-Saudi Arabia,21.5433,39.1728,4697000,SAU
Shenzhen,China,Shenzhen-China,22.5415,114.0596,17619000,CHN
Kolkata,India,Kolkata-India,22.5675,88.37,18502000,IND
Abu Dhabi,United Arab Emirates,Abu Dhabi-United Arab Emirates,24.4667,54.3667,1483000,ARE
Riyadh,Saudi Arabia,Riyadh-Saudi Arabia,24.6333,46.7167,7237000,SAU
Karachi,Pakistan,Karachi-Pakistan,24.86,67.01,15738000,PAK
Dubai,United Arab Emirates,Dubai-United Arab Emirates,25.2631,55.2972,3331420,ARE
Sharjah,United Arab Emirates,Sharjah-United Arab Emirates,25.3575,55.3908,1247749,ARE
Monterrey,Mexico,Monterrey-Mexico,25.6667,-100.3,5341171,MEX
Manama,Bahrain,Manama-Bahrain,26.225,50.5775,635000,BHR
Kathmandu,Nepal,Kathmandu-Nepal,27.71,85.32,845767,NPL
Pokhara,Nepal,Pokhara-Nepal,28.2083,83.9889,353841,NPL
New Delhi,India,New Delhi-India,28.6139,77.2089,249998,IND
Houston,United States,Houston-United States,29.786,-95.3885,5970127,USA
Suez,Egypt,Suez-Egypt,29.9667,32.55,516959,EGY
Cairo,Egypt,Cairo-Egypt,30.0444,31.2358,20296000,EGY
Shanghai,China,Shanghai-China,31.2286,121.4747,24073000,CHN
Lahore,Pakistan,Lahore-Pakistan,31.5497,74.3436,12306000,PAK
Tyre,Lebanon,Tyre-Lebanon,33.2708,35.1961,60000,LBN
Baghdad,Iraq,Baghdad-Iraq,33.3153,44.3661,6183000,IRQ
Damascus,Syria,Damascus-Syria,33.5131,36.2919,2584771,SYR
Beirut,Lebanon,Beirut-Lebanon,33.8983,35.5057,2421354,LBN
Peshawar,Pakistan,Peshawar-Pakistan,34.0144,71.5675,1970042,PAK
